id;customer_code;customer_name;customer_limit;is_active
1;hard drive Refined Soft Keyboard synthesizing;indigo Bacon Mouse;81457;false
2;payment National;HDD;39244;true
3;Lights interface Central;intranet index;50272;true
4;customized;synthesize Bahrain;90647;false
5;Bouvet Island (Bouvetoya) experiences;Credit Card Account;33490;true
6;Bacon;Investment Account Rwanda Customer;78859;true
7;copy;Robust hack Electronics;56988;true
8;Cambridgeshire navigate Licensed;Fantastic indexing;12748;true
9;Buckinghamshire Cameroon;Intuitive application;72003;false
10;Credit Card Account Nevada;Persistent transparent Chips;90845;false
